time,1name,1mass,1radius,1x,1y,1z,1vx,1vy,1vz,2name,2mass,2radius,2x,2y,2z,2vx,2vy,2vz,3name,3mass,3radius,3x,3y,3z,3vx,3vy,3vz,4name,4mass,4radius,4x,4y,4z,4vx,4vy,4vz,5name,5mass,5radius,5x,5y,5z,5vx,5vy,5vz,6name,6mass,6radius,6x,6y,6z,6vx,6vy,6vz,7name,7mass,7radius,7x,7y,7z,7vx,7vy,7vz,8name,8mass,8radius,8x,8y,8z,8vx,8vy,8vz,9name,9mass,9radius,9x,9y,9z,9vx,9vy,9vz,10name,10mass,10radius,10x,10y,10z,10vx,10vy,10vz,11name,11mass,11radius,11x,11y,11z,11vx,11vy,11vz
2451876,Mercury,0.055272864876088,1.6308387202198e-05,-0.39981424571802,-0.080616824759299,-0.0014832348494056,-0.00094390593570786,-0.02348466516673,-0.012445688048613,Venus,0.81500308922589,4.0453784346544e-05,0.71345202537084,-0.082412093782522,-0.08229068419964,0.0027985607917466,0.018234798964478,0.0080268613960894,Earth,1,4.2587504555972e-05,0.40348400449052,0.819590801837,0.35550775215949,-0.015940829113153,0.0064718427759269,0.0028063077177667,Mars,0.10744645760393,2.2657408050929e-05,-1.6231129918918,0.32549517104662,0.1933287219128,-0.0026678666089141,-0.011329359442965,-0.0051241416019344,Jupiter,317.83027508343,0.00046732617030491,2.0360794921914,4.2448495508936,1.7699102005792,-0.0069930310927279,0.0030758101231159,0.0014886938478152,Saturn,95.16155228159,0.00038925687730394,4.8551812598839,7.1990523140565,2.7644803718239,-0.0050126089295434,0.0026591717700853,0.001314048797677,Uranus,14.535268243595,0.00016953449859497,15.282804456222,-11.67116925196,-5.3278391128088,0.0024996956084822,0.002604803935118,0.0011054804540037,Neptune,17.147798947487,0.00016458790412449,17.650275722158,-22.419188118678,-9.6157282997092,0.0025227843039095,0.0017432016140212,0.00065069481973468,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8726018799994,-28.340526548714,-6.1709236255285,0.0030672643612106,-0.0010348503242347,-0.0012470971551884,Moon,0.01229327720821,1.1611796290093e-05,0.40315526360526,0.81712171519441,0.35454043696531,-0.01537942806127,0.0064078557233722,0.0027277303841161,Sun,332949.90096059,0.0046504672609622,-0.0049108940080595,-0.0044487354811294,-0.0017531474720096,7.9134070041349e-06,-3.9572552842823e-06,-1.9032963552893e-06
2451877,Mercury,0.055272864876088,1.6308387202198e-05,-0.39987136834082,-0.10391313214316,-0.013920279245785,0.00081817757467591,-0.023093196432483,-0.012419329232313,Venus,0.81500308922589,4.0453784346544e-05,0.71597366363735,-0.064149614107629,-0.074233844109687,0.0022443590716066,0.018287819168765,0.0080857880735188,Earth,1,4.2587504555972e-05,0.38748103655066,0.82593465317012,0.35825859363174,-0.016064241821706,0.0062155150786166,0.0026952205592256,Mars,0.10744645760393,2.2657408050929e-05,-1.6257287587435,0.31415532021261,0.18819835964111,-0.0025636311518518,-0.011350222196812,-0.0051365288601484,Jupiter,317.83027508343,0.00046732617030491,2.0290841011152,4.2479204390596,1.7713968420962,-0.0069977482216842,0.0030659653006476,0.0014845887279483,Saturn,95.16155228159,0.00038925687730394,4.8501676977383,7.2017100746414,2.7657938789554,-0.0050145150529946,0.0026563492015467,0.0013129653701718,Uranus,14.535268243595,0.00016953449859497,15.285303866946,-11.66856423057,-5.3267335330834,0.0024991258258403,0.0026052388263121,0.0011056789894648,Neptune,17.147798947487,0.00016458790412449,17.652798410672,-22.417444795389,-9.6150775527029,0.0025225927195108,0.0017434449619199,0.00065079919176935,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8695345685367,-28.341561248568,-6.1721706899211,0.0030673585581753,-0.0010345493828299,-0.0012470316282915,Moon,0.01229327720821,1.1611796290093e-05,0.38771655794229,0.82345910131215,0.35723561432006,-0.015501532415169,0.0062662801407265,0.0026627690910478,Sun,332949.90096059,0.0046504672609622,-0.0049029773552254,-0.0044526873579231,-0.0017550485660034,7.9198961679874e-06,-3.9464930761649e-06,-1.898889708132e-06
2451878,Mercury,0.055272864876088,1.6308387202198e-05,-0.39820119216652,-0.12677511802729,-0.02630446693599,0.0025103837734297,-0.022617404749504,-0.012340681227902,Venus,0.81500308922589,4.0453784346544e-05,0.71794010006612,-0.045841145790037,-0.066121177455894,0.0016882270761361,0.018326768680712,0.0081385066909594,Earth,1,4.2587504555972e-05,0.37135725563614,0.83202116509496,0.36089789372871,-0.016182450522597,0.0059571864900079,0.002583234705233,Mars,0.10744645760393,2.2657408050929e-05,-1.6282401830913,0.30279496697985,0.18305577250024,-0.0024591823826459,-0.011370363970268,-0.0051485911952378,Jupiter,317.83027508343,0.00046732617030491,2.0220840014253,4.250981479683,1.7728793771202,-0.0070024483189521,0.0030561150422742,0.0014804808634799,Saturn,95.16155228159,0.00038925687730394,4.8451522303953,7.2043650120635,2.7671063023739,-0.0050164193241834,0.0026535254447964,0.0013118813716078,Uranus,14.535268243595,0.00016953449859497,15.287802707845,-11.665958774342,-5.3256277548445,0.0024985559580003,0.0026056736141824,0.0011058774808779,Neptune,17.147798947487,0.00016458790412449,17.655320907588,-22.415701228761,-9.6144267013279,0.0025224011071834,0.001743688291572,0.00065090355703143,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8664671628949,-28.342595647479,-6.1734176887813,0.0030674527195924,-0.0010342484400629,-0.0012469660902521,Moon,0.01229327720821,1.1611796290093e-05,0.37214530868726,0.82965225064053,0.35986594399651,-0.015644282217728,0.006118648172233,0.0025977192633158,Sun,332949.90096059,0.0046504672609622,-0.0048950542208543,-0.00445662845662,-0.0017569452474587,7.9263699349628e-06,-3.9356988877975e-06,-1.8944711615642e-06
2451879,Mercury,0.055272864876088,1.6308387202198e-05,-0.39487438940973,-0.1491224875409,-0.038585577937422,0.004131246025841,-0.02206522744759,-0.012213831748321,Venus,0.81500308922589,4.0453784346544e-05,0.71934961458951,-0.027500780512547,-0.057958915044967,0.0011305855392617,0.018351607238439,0.0081849725081942,Earth,1,4.2587504555972e-05,0.35511787772278,0.83784840334871,0.36342478271817,-0.016295432839711,0.0056969893142092,0.0024704078270808,Mars,0.10744645760393,2.2657408050929e-05,-1.6306470539693,0.29141483313841,0.1779012858481,-0.0023545249955244,-0.01138978314489,-0.0051603277379884,Jupiter,317.83027508343,0.00046732617030491,2.0150792101566,4.2540326673412,1.7743578029121,-0.0070071313783468,0.0030462593750046,0.001476370265838,Saturn,95.16155228159,0.00038925687730394,4.8401348597077,7.2070171251353,2.7684176415084,-0.0050183217420053,0.0026507005009716,0.0013107968024047,Uranus,14.535268243595,0.00016953449859497,15.290300978834,-11.663352883377,-5.3245217781363,0.0024979860049833,0.0026061082987179,0.0011060759282379,Neptune,17.147798947487,0.00016458790412449,17.657843212877,-22.413957418812,-9.6137757455911,0.0025222094669294,0.0017439316029749,0.00065100791551977,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8633996631094,-28.343629745448,-6.1746646220979,0.0030675468454627,-0.0010339474959396,-0.0012469005410722,Moon,0.01229327720821,1.1611796290093e-05,0.3564216816056,0.83569299503704,0.36243041568743,-0.015805950397867,0.0059608255257457,0.0025307631916266,Sun,332949.90096059,0.0046504672609622,-0.004887124620794,-0.0044605587446553,-0.0017588375041357,7.9328273829407e-06,-3.9248715742098e-06,-1.8900400448357e-06
2451880,Mercury,0.055272864876088,1.6308387202198e-05,-0.38996275601363,-0.17088253147406,-0.050717327695599,0.0056799577474976,-0.021443903690022,-0.012042564027363,Venus,0.81500308922589,4.0453784346544e-05,0.72020090878177,-0.00914264505294,-0.049753330156771,0.00057185696308846,0.018362304923438,0.0082251453264474,Earth,1,4.2587504555972e-05,0.33876813689091,0.84341456321535,0.36583844777613,-0.016403174565654,0.0054350504705909,0.002356796087097,Mars,0.10744645760393,2.2657408050929e-05,-1.6329491651121,0.28001564209408,0.17273522591076,-0.0022496636979823,-0.01140847810767,-0.0051717376213195,Jupiter,317.83027508343,0.00046732617030491,2.0080697443499,4.257073996639,1.7758321167446,-0.00701179739374,0.0030363983258468,0.0014722569464512,Saturn,95.16155228159,0.00038925687730394,4.8351155875295,7.2096664126702,2.7697278957886,-0.0050202223053568,0.0026478743712104,0.0013097116629825,Uranus,14.535268243595,0.00016953449859497,15.292798679827,-11.660746557779,-5.3234156030027,0.0024974159668105,0.0026065428799076,0.0011062743315397,Neptune,17.147798947487,0.00016458790412449,17.660365326513,-22.412213365561,-9.6131246854991,0.0025220177987506,0.0017441748961259,0.00065111226723325,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8603320692158,-28.344663542471,-6.1759114898598,0.0030676409357864,-0.0010336465504655,-0.0012468349807535,Moon,0.01229327720821,1.1611796290093e-05,0.34052784987605,0.84156929108812,0.3649262785136,-0.015984279973804,0.0057891849828998,0.0024602358710286,Sun,332949.90096059,0.0046504672609622,-0.0048791885718708,-0.0044644781883914,-0.001760725323155,7.9392674808978e-06,-3.9140101342175e-06,-1.8855957499712e-06
2451881,Mercury,0.055272864876088,1.6308387202198e-05,-0.38353862479506,-0.19198944520714,-0.062657064145777,0.0071562300111457,-0.020760010104218,-0.011830361084405,Venus,0.81500308922589,4.0453784346544e-05,0.72049310748337,0.0092191090870956,-0.041510733981323,1.2465329612028e-05,0.018358842214965,0.008258989531103,Earth,1,4.2587504555972e-05,0.32231327808991,0.84871796464618,0.36813813159372,-0.016505667995477,0.0051714926008885,0.0022424544280508,Mars,0.10744645760393,2.2657408050929e-05,-1.6351463149687,0.26859811886293,0.16755791978027,-0.0021446032111833,-0.01142644725107,-0.0051828199802889,Jupiter,317.83027508343,0.00046732617030491,2.0010556210525,4.2601054622079,1.7773023159016,-0.0070164463590597,0.0030265319218076,0.0014681409167495,Saturn,95.16155228159,0.00038925687730394,4.8300944157155,7.2123128734828,2.7710370646445,-0.0050221210131353,0.0026450470566513,0.0013086259537615,Uranus,14.535268243595,0.00016953449859497,15.295295810739,-11.658139797651,-5.3223092294879,0.0024968458435032,0.0026069773577406,0.0011064726907781,Neptune,17.147798947487,0.00016458790412449,17.662887248466,-22.410469069026,-9.6124735210589,0.002521826102649,0.0017444181710223,0.00065121661217073,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8572643812497,-28.345697038548,-6.1771582920557,0.0030677349905643,-0.0010333456036464,-0.0012467694092981,Moon,0.01229327720821,1.1611796290093e-05,0.32444844716371,0.84726568489177,0.36734918378634,-0.016176621435646,0.0056005139740902,0.0023846004311448,Sun,332949.90096059,0.0046504672609622,-0.0048712460919866,-0.0044683867532591,-0.0017626086910603,7.9456891133367e-06,-3.9031137045466e-06,-1.8811377311277e-06
2451882,Mercury,0.055272864876088,1.6308387202198e-05,-0.37567440946015,-0.21238368693111,-0.074365472189558,0.008560171726141,-0.020019503114539,-0.011580415910212,Venus,0.81500308922589,4.0453784346544e-05,0.72022576013549,0.027570316104406,-0.033237471014328,-0.00054716419052855,0.018341210038373,0.0082864741318768,Earth,1,4.2587504555972e-05,0.30575855092998,0.85375704867866,0.3703231314105,-0.01660291156921,0.004906435458377,0.0021274370990888,Mars,0.10744645760393,2.2657408050929e-05,-1.6372383067163,0.25716299006581,0.16236969541259,-0.0020393482703652,-0.01144368897306,-0.0051935739520996,Jupiter,317.83027508343,0.00046732617030491,1.9940368573172,4.2631270587067,1.7787683976785,-0.0070210782682902,0.0030166601898929,0.0014640221881634,Saturn,95.16155228159,0.00038925687730394,4.8250713461221,7.2149565063889,2.7723451475064,-0.0050240178642389,0.0026422185584336,0.0013075396751623,Uranus,14.535268243595,0.00016953449859497,15.297792371485,-11.655532603098,-5.3212026576359,0.0024962756350824,0.0026074117322058,0.0011066710059481,Neptune,17.147798947487,0.00016458790412449,17.665408978709,-22.408724529225,-9.611822252277,0.0025216343786267,0.0017446614276616,0.00065132095033107,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8541965992465,-28.346730233678,-6.1784050286747,0.0030678290097968,-0.001033044655488,-0.001246703826708,Moon,0.01229327720821,1.1611796290093e-05,0.30817093530012,0.85276366886933,0.36969329206129,-0.01637996364662,0.0053918991972511,0.0023024043273519,Sun,332949.90096059,0.0046504672609622,-0.0048632972001919,-0.0044722844038918,-0.0017644875938802,7.952091100972e-06,-3.8921815528276e-06,-1.8766655029607e-06
2451883,Mercury,0.055272864876088,1.6308387202198e-05,-0.36644225833742,-0.23201138018165,-0.085806290463179,0.0098921895557526,-0.019227764786441,-0.011295645575408,Venus,0.81500308922589,4.0453784346544e-05,0.71939884182184,0.045896806362047,-0.02493991441385,-0.0011066055321553,0.018309409807224,0.0083075728003785,Earth,1,4.2587504555972e-05,0.28910920313689,0.85853037512697,0.37239279859171,-0.016694910897529,0.0046399969545515,0.0020117981736579,Mars,0.10744645760393,2.2657408050929e-05,-1.6392249482745,0.24571098392283,0.15717088162536,-0.0019339036252458,-0.011460201677163,-0.0052039986761106,Jupiter,317.83027508343,0.00046732617030491,1.9870134702032,4.2661387808208,1.7802303593821,-0.0070256931154719,0.0030067831571071,0.0014599007721244,Saturn,95.16155228159,0.00038925687730394,4.8200463806063,7.2175973102055,2.7736521438051,-0.0050259128575665,0.0026393888776972,0.0013064528276058,Uranus,14.535268243595,0.00016953449859497,15.300288361981,-11.652924974221,-5.3200958874907,0.0024957053415695,0.0026078460032925,0.0011068692770446,Neptune,17.147798947487,0.00016458790412449,17.667930517214,-22.406979746176,-9.6111708791605,0.0025214426266854,0.0017449046660409,0.00065142528171313,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8511287232419,-28.347763127859,-6.1796516997054,0.0030679229934846,-0.0010327437059961,-0.0012466382329849,Moon,0.01229327720821,1.1611796290093e-05,0.29168599756613,0.85804193272294,0.37195133491485,-0.016590852217902,0.0051606390547678,0.0022122361721759,Sun,332949.90096059,0.0046504672609622,-0.0048553419167412,-0.0044761711042531,-0.0017663620171868,7.9584722181272e-06,-3.8812130699964e-06,-1.8721786383348e-06
2451884,Mercury,0.055272864876088,1.6308387202198e-05,-0.35591379947153,-0.25082376298578,-0.096946043529389,0.011152904837311,-0.018389649889345,-0.010978707753338,Venus,0.81500308922589,4.0453784346544e-05,0.71801275401499,0.064184416895921,-0.016624461320746,-0.0016654320324027,0.018263453459081,0.0083222639049989,Earth,1,4.2587504555972e-05,0.27237047234397,0.86303662087112,0.37434653860254,-0.016781681013456,0.0043722931941214,0.0018955917747284,Mars,0.10744645760393,2.2657408050929e-05,-1.64110605232,0.2342428302478,0.15196180809582,-0.001828274040431,-0.011475983772509,-0.0052140932938496,Jupiter,317.83027508343,0.00046732617030491,1.9799854767756,4.2691406232629,1.7816881983307,-0.0070302908947016,0.0029969008504534,0.0014557766800648,Saturn,95.16155228159,0.00038925687730394,4.8150195210266,7.2202352837505,2.7749580529721,-0.005027805992018,0.0026365580155828,0.0013053654115133,Uranus,14.535268243595,0.00016953449859497,15.30278378214,-11.650316911125,-5.3189889190965,0.0024951349629856,0.0026082801709894,0.0011070675040624,Neptune,17.147798947487,0.00016458790412449,17.670451863953,-22.405234719899,-9.6105194017159,0.0025212508468273,0.0017451478861577,0.00065152960631578,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8480607532714,-28.348795721089,-6.1808983051369,0.003068016941628,-0.0010324427551762,-0.0012465726281309,Moon,0.01229327720821,1.1611796290093e-05,0.27498806543505,0.86307656325443,0.3741146433678,-0.016805208124737,0.0049042383102012,0.0021127063491442,Sun,332949.90096059,0.0046504672609622,-0.0048473802631314,-0.0044800468177557,-0.0017682319461536,7.964831207302e-06,-3.8702077624825e-06,-1.8676767656276e-06
2451885,Mercury,0.055272864876088,1.6308387202198e-05,-0.34415996136081,-0.26877668399177,-0.10775379132079,0.012343084972816,-0.017509532582953,-0.010632018542533,Venus,0.81500308922589,4.0453784346544e-05,0.71606832502456,0.082419001953985,-0.0082975281455801,-0.0022232167301994,0.018203363484829,0.0083305305430558,Earth,1,4.2587504555972e-05,0.25554757519729,0.86727457738242,0.37618381092632,-0.016863249382596,0.0041034367957132,0.0017788716793449,Mars,0.10744645760393,2.2657408050929e-05,-1.6428814363019,0.22275926044253,0.14674280535854,-0.0017224642958242,-0.011491033673895,-0.0052238569490295,Jupiter,317.83027508343,0.00046732617030491,1.9729528941051,4.2721325807727,1.783141911854,-0.0070348716001322,0.0029870132969332,0.0014516499234175,Saturn,95.16155228159,0.00038925687730394,4.8099907692423,7.2228704258432,2.7762628744388,-0.0050296972664942,0.0026337259732316,0.0013042774273064,Uranus,14.535268243595,0.00016953449859497,15.305278631878,-11.647708413914,-5.3178817524973,0.0024945644993519,0.0026087142352858,0.0011072656869964,Neptune,17.147798947487,0.00016458790412449,17.672973018898,-22.40348945041,-9.6098678199501,0.0025210590390542,0.0017453910880093,0.00065163392413788,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8449926893705,-28.349828013368,-6.182144844958,0.0030681108542277,-0.0010321418030342,-0.0012465070121478,Moon,0.01229327720821,1.1611796290093e-05,0.25807606211571,0.86784130375165,0.37617317979199,-0.017018084571017,0.0046205420814365,0.0020024780700031,Sun,332949.90096059,0.0046504672609622,-0.0048394122621282,-0.0044839115073734,-0.0017700973656085,7.9711667913462e-06,-3.8591652444417e-06,-1.8631595658116e-06
2451886,Mercury,0.055272864876088,1.6308387202198e-05,-0.33125085602955,-0.28583014463528,-0.1182008967092,0.013463587011077,-0.016591351663179,-0.010257770784186,Venus,0.81500308922589,4.0453784346544e-05,0.7135668101446,0.10058644356149,3.4454175204669e-05,-0.0027795326682556,0.018129172951409,0.0083323605701311,Earth,1,4.2587504555972e-05,0.23864569344083,0.8712431454389,0.37790412813124,-0.016939658724124,0.0038335328634272,0.0016616899558392,Mars,0.10744645760393,2.2657408050929e-05,-1.6445509224568,0.21126100749122,0.14151420480333,-0.001616479187037,-0.01150534980185,-0.0052332887875675,Jupiter,317.83027508343,0.00046732617030491,1.9659157392685,4.2751146481168,1.7845914972932,-0.0070394352259728,0.0029771205235467,0.0014475205136163,Saturn,95.16155228159,0.00038925687730394,4.8049601271139,7.225502735304,2.7775666076374,-0.0050315866798963,0.0026308927517855,0.001303188875407,Uranus,14.535268243595,0.00016953449859497,15.30777291111,-11.645099482689,-5.3167743877372,0.0024939939506897,0.0026091481961707,0.0011074638258415,Neptune,17.147798947487,0.00016458790412449,17.675493982021,-22.401743937729,-9.6092161338699,0.0025208672033681,0.0017456342715931,0.0006517382351783,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8419245315748,-28.350860004695,-6.1833913191575,0.0030682047312841,-0.0010318408495757,-0.0012464413850377,Moon,0.01229327720821,1.1611796290093e-05,0.24095439006617,0.87230803927133,0.37811563793534,-0.017223439153906,0.0043080607766168,0.001880377054868,Sun,332949.90096059,0.0046504672609622,-0.0048314379377793,-0.0044877651357448,-0.0017719582600858,7.9774776836316e-06,-3.8480852302011e-06,-1.8586267694425e-06
2451887,Mercury,0.055272864876088,1.6308387202198e-05,-0.31725571327086,-0.30194788554042,-0.12826081139663,0.014515311412477,-0.015638653702102,-0.0098579523107462,Venus,0.81500308922589,4.0453784346544e-05,0.71050989149784,0.11867266210561,0.0083650449510286,-0.0033339531974249,0.018040925517812,0.0083277466265327,Earth,1,4.2587504555972e-05,0.22166995791351,0.87494132450348,0.37950705297541,-0.017010968042194,0.0035626723580687,0.0015440943795087,Mars,0.10744645760393,2.2657408050929e-05,-1.646114337825,0.1997488059546,0.13627633867293,-0.0015103235258,-0.011518930582707,-0.0052423879576074,Jupiter,317.83027508343,0.00046732617030491,1.9588740293483,4.2780868200889,1.7860369520007,-0.0070439817664886,0.0029672225572919,0.0014433884620953,Saturn,95.16155228159,0.00038925687730394,4.7999275965032,7.2281322109542,2.7788692520005,-0.0050334742311269,0.002628058352387,0.0013020997562375,Uranus,14.535268243595,0.00016953449859497,15.310266619751,-11.642490117556,-5.3156668248603,0.00249342331702,0.0026095820536331,0.0011076619205927,Neptune,17.147798947487,0.00016458790412449,17.678014753295,-22.399998181873,-9.608564343482,0.0025206753397711,0.0017458774369064,0.0006518425394359,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8388562799198,-28.351891695067,-6.1846377277244,0.003068298572798,-0.0010315398948065,-0.0012463757468023,Moon,0.01229327720821,1.1611796290093e-05,0.22363408680826,0.87644771325091,0.37992970130084,-0.017414051437987,0.0039665063830435,0.0017456004961928,Sun,332949.90096059,0.0046504672609622,-0.0048234573154208,-0.0044916076652699,-0.0017738146138738,7.9837625965495e-06,-3.8369675270261e-06,-1.8540781536478e-06
2451888,Mercury,0.055272864876088,1.6308387202198e-05,-0.3022428567704,-0.31709701484259,-0.13790887985576,0.015499164252853,-0.01465463370961,-0.0094343637459319,Venus,0.81500308922589,4.0453784346544e-05,0.70689967757443,0.13666362693263,0.016687798533905,-0.0038860522833016,0.017938675444231,0.0083166861608105,Earth,1,4.2587504555972e-05,0.20462543330165,0.87836819441388,0.38099219232894,-0.017077249701122,0.0032909235883826,0.0014261247107454,Mars,0.10744645760393,2.2657408050929e-05,-1.6475715142668,0.18822339196416,0.13102954006084,-0.001404002140375,-0.011531774448685,-0.0052511536095456,Jupiter,317.83027508343,0.00046732617030491,1.9518277814325,4.2810490915095,1.7874782733406,-0.0070485112160008,0.0029573194251653,0.0014392537802893,Saturn,95.16155228159,0.00038925687730394,4.7948931792728,7.2307588516165,2.780170806961,-0.0050353599190891,0.0026252227761794,0.0013010100702203,Uranus,14.535268243595,0.00016953449859497,15.312759757716,-11.639880318617,-5.3145590639107,0.0024928525983641,0.002610015807662,0.0011078599712448,Neptune,17.147798947487,0.00016458790412449,17.680535332692,-22.398252182861,-9.6079124487933,0.002520483448265,0.0017461205839464,0.00065194683690954,Pluto,0.0021817134571368,7.9432948773916e-06,-8.835787934441,-28.352923084484,-6.1858840706474,0.0030683923787697,-0.0010312389387321,-0.0012463100974437,Moon,0.01229327720821,1.1611796290093e-05,0.2061339179357,0.88023186649707,0.38160255914641,-0.017581762090102,0.0035974815316694,0.0015980184714726,Sun,332949.90096059,0.0046504672609622,-0.0048154704216733,-0.0044954390581995,-0.0017756664110598,7.990020248574e-06,-3.825812028296e-06,-1.8495135391869e-06
2451889,Mercury,0.055272864876088,1.6308387202198e-05,-0.28627971443958,-0.33124767586016,-0.14712216074117,0.016416026371279,-0.013642173156749,-0.0089886356156251,Venus,0.81500308922589,4.0453784346544e-05,0.70273870246304,0.15454536695082,0.024996269137189,-0.0044354048149026,0.017822487594202,0.0082991814502591,Earth,1,4.2587504555972e-05,0.18751710866677,0.88152288851824,0.3823591870832,-0.017138580555871,0.0030183241510706,0.0013078085862313,Mars,0.10744645760393,2.2657408050929e-05,-1.6489222884792,0.17668550321619,0.12577414290901,-0.0012975198759736,-0.011543879837974,-0.0052595848960595,Jupiter,317.83027508343,0.00046732617030491,1.9447770126151,4.2840014572262,1.7889154586883,-0.0070530235688866,0.0029474111541614,0.0014351164796339,Saturn,95.16155228159,0.00038925687730394,4.7898568772865,7.2333826561146,2.7814712719522,-0.005037243742687,0.0026223860243064,0.0012999198177783,Uranus,14.535268243595,0.00016953449859497,15.31525232492,-11.637270085975,-5.3134511049325,0.0024922817947432,0.0026104494582466,0.0011080579777927,Neptune,17.147798947487,0.00016458790412449,17.683055720183,-22.396505940711,-9.6072604498104,0.0025202915288518,0.0017463637127107,0.00065205112759807,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8327194951741,-28.353954172944,-6.1871303479155,0.0030684861491998,-0.0010309379813584,-0.0012462444369638,Moon,0.01229327720821,1.1611796290093e-05,0.18848099927435,0.88363486891378,0.38312174752959,-0.017718195248428,0.0032051319895434,0.0014385067724628,Sun,332949.90096059,0.0046504672609622,-0.004807477284434,-0.0044992592767182,-0.0017775136355727,7.9962493701108e-06,-3.8146187071349e-06,-1.8449327876288e-06
2451890,Mercury,0.055272864876088,1.6308387202198e-05,-0.26943285666687,-0.34437275146145,-0.15587926500631,0.017266728191664,-0.012603875351481,-0.0085222446329664,Venus,0.81500308922589,4.0453784346544e-05,0.69802992477222,0.1723039812319,0.033284015673296,-0.0049815869152658,0.017692437429664,0.0082752396183507,Earth,1,4.2587504555972e-05,0.17034990003779,0.88440456056997,0.38360769838081,-0.017195026898767,0.0027448772436051,0.0011891585852595,Mars,0.10744645760393,2.2657408050929e-05,-1.6501665020131,0.16513587896576,0.12051048200556,-0.0011908815951809,-0.011555245194829,-0.0052676809721378,Jupiter,317.83027508343,0.00046732617030491,1.9377217399955,4.2869439121138,1.7903485054307,-0.0070575188195794,0.0029374977712732,0.0014309765715651,Saturn,95.16155228159,0.00038925687730394,4.7848186924092,7.2360036232736,2.7827706464079,-0.0050391257008255,0.0026195480979125,0.0012988289993347,Uranus,14.535268243595,0.00016953449859497,15.317744321277,-11.634659419735,-5.3123429479698,0.0024917109061785,0.0026108830053758,0.0011082559402313,Neptune,17.147798947487,0.00016458790412449,17.68557591574,-22.394759455442,-9.6066083465403,0.0025200995815335,0.0017466068231965,0.00065215541150033,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8296509621545,-28.354984960446,-6.1883765595176,0.0030685798840888,-0.0010306370226911,-0.0012461787653645,Moon,0.01229327720821,1.1611796290093e-05,0.17071043696423,0.88663665575995,0.38447628824181,-0.017815983576534,0.0027964435469141,0.0012691841520515,Sun,332949.90096059,0.0046504672609622,-0.004799477932861,-0.0045030682830211,-0.0017793562712221,8.0024487086303e-06,-3.8033876103456e-06,-1.8403357986213e-06
2451891,Mercury,0.055272864876088,1.6308387202198e-05,-0.25176805736436,-0.35644760252008,-0.16416020986511,0.018052029147399,-0.011542098262321,-0.0080365290975946,Venus,0.81500308922589,4.0453784346544e-05,0.69277672624044,0.18992564960393,0.041544606607276,-0.0055241762538262,0.017548610998714,0.0082448726489944,Earth,1,4.2587504555972e-05,0.1531286699977,0.88701235185509,0.38473739230939,-0.017246626367774,0.0024705563430296,0.001070172384562,Mars,0.10744645760393,2.2657408050929e-05,-1.6513040012907,0.15357526002061,0.11523889298246,-0.0010840921783562,-0.011565868969668,-0.0052754409951174,Jupiter,317.83027508343,0.00046732617030491,1.9306619806785,4.2898764510738,1.7917774109661,-0.0070619969625683,0.0029275793034906,0.0014268340675191,Saturn,95.16155228159,0.00038925687730394,4.779778626507,7.2386217519193,2.7840689297623,-0.0050410057924105,0.002616708998143,0.0012977376153132,Uranus,14.535268243595,0.00016953449859497,15.320235746704,-11.632048319999,-5.3112345930667,0.0024911399326913,0.0026113164490388,0.0011084538585556,Neptune,17.147798947487,0.00016458790412449,17.688095919336,-22.393012727071,-9.6059561389897,0.0025199076063121,0.0017468499154011,0.00065225968861521,Pluto,0.0021817134571368,7.9432948773916e-06,-8.8265823354178,-28.356015446989,-6.1896227054426,0.0030686735834374,-0.0010303360627358,-0.0012461130826477,Moon,0.01229327720821,1.1611796290093e-05,0.15286358468409,0.88922544208732,0.3856579513505,-0.017870240301676,0.0023808586554902,0.0010933984351281,Sun,332949.90096059,0.0046504672609622,-0.0047914723973551,-0.0045068660393846,-0.0017811943017355,8.008617032762e-06,-3.7921188528825e-06,-1.8357225073399e-06
