1x,1y,1z
-0.13723006082208308,-0.40324074455133696,-0.20141225082211953
-0.11567918208768,-0.40758796728703,-0.20596836163196
-0.093812301278216,-0.41075639688589,-0.20992758017084
-0.071692973999868,-0.4127363394899,-0.21327813674842
-0.049385205711879,-0.41351940981537,-0.21600891400913
-0.026953614931359,-0.41309853162285,-0.2181094302565
-0.004463601105226,-0.41146795914908,-0.21956983349068
0.018018483134586,-0.40862332023122,-0.22038090657848
0.04042515567679,-0.40456168217785,-0.22053408415493
0.062687625058979,-0.39928164178104,-0.22002148204914
0.08473560766342,-0.39278344122177,-0.21883594023716
0.10649714288602,-0.38506911199734,-0.21697108055298
0.1278984075369,-0.37614264939559,-0.2144213806367
0.1488635311951,-0.36601022045207,-0.2111822658671
0.16931441483917,-0.35468040874996,-0.20725022131377
0.18917055583815,-0.34216449984628,-0.20262292605009
0.20834888334851,-0.32847681151789,-0.19729941248635
0.22676360936263,-0.31363507339122,-0.1912802537051
0.24432610213942,-0.29766086081504,-0.18456778209241
0.26094479056995,-0.28058008800498,-0.17716634283816
0.27652511024521,-0.26242356545927,-0.16908258609269
0.2909695046546,-0.24322762632021,-0.16032580166948
