time,body1x1,body1x2,body1x3,body1v1,body1v2,body1v3,body2x1,body2x2,body2x3,body2v1,body2v2,body2v3,body3x1,body3x2,body3x3,body3v1,body3v2,body3v3,body4x1,body4x2,body4x3,body4v1,body4v2,body4v3,body5x1,body5x2,body5x3,body5v1,body5v2,body5v3,body6x1,body6x2,body6x3,body6v1,body6v2,body6v3,body7x1,body7x2,body7x3,body7v1,body7v2,body7v3,body8x1,body8x2,body8x3,body8v1,body8v2,body8v3,body9x1,body9x2,body9x3,body9v1,body9v2,body9v3,body10x1,body10x2,body10x3,body10v1,body10v2,body10v3,body11x1,body11x2,body11x3,body11v1,body11v2,body11v3,body12x1,body12x2,body12x3,body12v1,body12v2,body12v3,body13x1,body13x2,body13x3,body13v1,body13v2,body13v3
2451545, -0.13723006082208308      , -0.40324074455133696      , -0.20141225082211953      ,   2.1371774140609895E-002 ,  -4.9330579272847163E-003 ,  -4.8504658610224799E-003, -0.72543875152346304      ,  -4.8921270399804068E-002 ,   2.3717689928343236E-002 ,   8.0349598584486819E-004 ,  -1.8498595670840820E-002 ,  -8.3727681782353840E-003, -0.18427155500339445      ,  0.88478149910723447      ,  0.38381995014030024      ,  -1.7202246607562529E-002 ,  -2.9049259136469858E-003 ,  -1.2594279020399295E-003,   1.3835794665468746      ,  -1.2458049136983610E-003 ,  -3.7883115552126152E-002 ,   6.7687797190540901E-004 ,   1.3807279333238335E-002 ,   6.3148675769914616E-003,   3.9940406721884734      ,   2.7339318349730544      ,   1.0745891316880556      ,  -4.5629351249463854E-003 ,   5.8747039711595922E-003 ,   2.6292699854468713E-003,   6.3992724019779619      ,   6.1720107734681076      ,   2.2738478333021606      ,  -4.2869734170880103E-003 ,   3.5215863786401606E-003 ,   1.6388986695893715E-003,   14.424720184230885      ,  -12.508914106474069      ,  -5.6826124583005928      ,   2.6834839791881546E-003 ,   2.4552459318671919E-003 ,   1.0373766885329908E-003,   16.804909573443631      ,  -22.982747693888069      ,  -9.8253501877447214      ,   2.5846524662338365E-003 ,   1.6616670785582744E-003 ,   6.1578247114325185E-004,  -9.8824901659219861      ,  -27.981516546831006      ,  -5.7546134904214492      ,   3.0341292593250645E-003 ,  -1.1343520284510435E-003 ,  -1.2681626835987880E-003, -0.18622083665707945      ,  0.88299860719705647      ,  0.38331123644228171      ,  -1.6830576131430387E-002 ,  -3.2896237419243733E-003 ,  -1.4334580587707954E-003,  -7.1364551999907409E-003 ,  -2.6470233282205034E-003 ,  -9.2294847095861579E-004 ,   5.3784592957185750E-006 ,  -6.7581859996490929E-006 ,  -3.0328494876565654E-006,  -7.1364551999907409E-003 ,  -2.6470233282205034E-003 ,  -9.2294847095861579E-004 ,   5.3784592957185750E-006 ,  -6.7581859996490929E-006 ,  -3.0328494876565654E-006, -0.18429523991439339      ,  0.88475983592883567      ,  0.38381376897164321      ,  -1.7197730594121635E-002 ,  -2.9096002170279334E-003 ,  -1.2615424701247989E-003
2451545.5,-0.1264980802566,-0.40556104784782,-0.20376415614658,0.021553515031778,-0.004347682181446,-0.0045566296489856,-0.72496590020382,-0.058165681037525,0.019529004663395,0.0010878677597582,-0.018478437708118,-0.0083816961950197,-0.24227435115316,0.83576124416905,0.36940482241732,-0.16396156145978,-0.14667428724567,-0.043133328522939,1.383898804431,0.0056577855919076,-0.034725187895743,0.00060047781561907,0.013807019478798,0.0063168139408644,3.9917579962233,2.7368683602483,1.0759034417369,-0.0045677682434852,0.0058713965594038,0.0026279699534767,6.3971286083498,6.173771270298,2.2746671734825,-0.0042882010348185,0.0035204008773646,0.0016384620230765,14.42606185867,-12.507686424944,-5.6820937433508,0.0026832137732696,0.0024554801836123,0.0010374831090037,16.806201876898,-22.981916829192,-9.8250422831898,0.0025845613510047,0.0016617917030769,0.00061583574831062,-9.8809730880424,-27.982083685323,-5.7552475640469,0.0030341822574536,-0.0011342019400114,-0.0012681318176025,-0.19461788874703,0.881330089494,0.38258266890504,-0.016758247858345,-0.0033837713040466,-0.0014804895648616,-0.007133764921807,-0.0026504014828231,-0.00092446451738045,5.3826528115825e-06,-6.7544335132638e-06,-3.0313367520008e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.19288709970362,0.88327053065237,0.38316803791996,-0.01716948556835,-0.0030475827515913,-0.0013213652022981
2451546,-0.11567918113813,-0.40758796763343,-0.20596836191547,0.021719443904297,-0.003759551863458,-0.0042596821230496,-0.72435093003814,-0.067399099408188,0.015336270507502,0.0013719618923458,-0.018454627608315,-0.008388963594654,-0.32424298422855,0.76238660404113,0.34782142360664,-0.1639090467638,-0.14682587963982,-0.043201342871749,1.3841799488321,0.012561151391106,-0.031566330708156,0.00052410447705953,0.013806380581578,0.006318585723916,3.9894729044375,2.7398032309623,1.0772171013851,-0.0045725984068091,0.005868085726942,0.002626668383202,6.3949842010038,6.1755311742821,2.2754862952965,-0.0042894282884688,0.0035192149957839,0.0016380252039669,14.427403398,-12.506458626295,-5.6815749751934,0.00268294354432,0.0024557144104711,0.0010375895189012,16.807494134793,-22.981085902186,-9.8247343519967,0.0025844702286381,0.0016619163232536,0.00061588902387867,-9.879455983666,-27.982650748771,-5.7558816222386,0.0030342352466655,-0.001134051850752,-0.0012681009486638,-0.20297972619106,0.87961547657943,0.38183105849938,-0.016689766914913,-0.0034740772511824,-0.0015256524922388,-0.0071310725477945,-0.0026537777628358,-0.00092597980826326,5.386842635202e-06,-6.7506876391151e-06,-3.0298273321472e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.20146450267701,0.88171229225458,0.38249242071123,-0.017139903717526,-0.0031853308237002,-0.0013810862838417
2451546.5,-0.10478127695229,-0.40932016840461,-0.20802333401508,0.021869529244337,-0.0031688337349654,-0.0039597090925359,-0.72359399405462,-0.076619701013924,0.011140317961766,0.0016557215723168,-0.018427171778188,-0.0083945696640532,-0.40617912000995,0.68893423408574,0.32620256208767,-0.16383095784101,-0.14698414643203,-0.043274807451027,1.3844229138141,0.019464103074952,-0.02840663124591,0.00044776057457117,0.013805363094333,0.0063201830630144,3.9871853983095,2.7427364454055,1.0785301098639,-0.0045774256118235,0.0058647714763245,0.0026253652756406,6.3928391801221,6.1772904852304,2.2763051986577,-0.0042906551778829,0.0035180287340028,0.0016375882122968,14.42874480221,-12.505230710538,-5.6810561538336,0.0026826732923418,0.002455948612442,0.0010376959182247,16.808786347126,-22.98025491287,-9.8244263941662,0.0025843790991341,0.001662040939088,0.00061594229784728,-9.8779388527972,-27.983217737174,-5.756515664995,0.0030342882269607,-0.0011339017606736,-0.001268070076783,-0.21130834543727,0.87785657999204,0.3810573048726,-0.016625421706182,-0.0035609791243793,-0.0015690857997768,-0.0071283780797626,-0.0026571521715632,-0.00092749434526581,5.3910289142661e-06,-6.7469483706861e-06,-3.028321231467e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.21002678101214,0.88008524078294,0.38178696939175,-0.017108987421989,-0.0033228331718474,-0.0014407008323095
2451547,-0.093812299368156,-0.41075639753906,-0.20992758071783,0.022003729804655,-0.0025756926653787,-0.0036567943465162,-0.72269527365775,-0.085825664746118,0.0069419777983462,0.0019390901078721,-0.018396077367527,-0.0083985140319742,-0.48806926906821,0.61540259315646,0.30454617866982,-0.16372498929705,-0.14714153097516,-0.043350851800116,1.384627714748,0.026366451465334,-0.025246176695021,0.00037144871968433,0.013803967487627,0.0063216061033812,3.9848954793193,2.7456680018694,1.0798424664047,-0.0045822498554366,0.0058614538101042,0.0026240606318116,6.3906935458867,6.1790492029527,2.27712388348,-0.0042918817029047,0.0035168420921264,0.0016371510481026,14.430086071289,-12.504002677686,-5.6805372792769,0.0026824030173377,0.0024561827895237,0.0010378023069736,16.810078513891,-22.979423861247,-9.8241184096991,0.0025842879624931,0.0016621655505798,0.00061599557021629,-9.8764216954405,-27.983784650531,-5.7571496923149,0.0030343411983392,-0.0011337516697768,-0.0012680392019602,-0.21960588323376,0.87605499127181,0.38026223742322,-0.016565485354022,-0.0036449204233838,-0.0016109318898437,-0.0071256815194461,-0.0026605247123062,-0.00092900813004841,5.3952117981557e-06,-6.743215699898e-06,-3.0268184528053e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.21857326810665,0.87838950191036,0.38105173844675,-0.017076739181606,-0.0034600785560153,-0.0015002039745725
2451547.5,-0.082780203145443,-0.41189548450868,-0.21167965175296,0.022121994443423,-0.001980292268347,-0.0033510199770757,-0.72165497856555,-0.095015173256218,0.0027420808896723,0.0022220109387195,-0.018361352266304,-0.0084007966684957,-0.56989966461829,0.54179436791388,0.28285192709889,-0.16359253906847,-0.14728894986115,-0.043425585141883,1.3847943683092,0.033268007623854,-0.022085054166818,0.00029517151693626,0.013802194249739,0.0063228549985534,3.9826031489482,2.7485978986468,1.0811541702398,-0.0045870711345599,0.0058581327308367,0.0026227544527356,6.3885472984799,6.1808073272592,2.2779423496771,-0.0042931078633784,0.0035156550702596,0.0016367137114206,14.431427205224,-12.502774527752,-5.6800183515284,0.0026821327193102,0.0024564169417147,0.0010379086851472,16.811370635087,-22.97859274732,-9.8238103985962,0.0025841968187153,0.0016622901577286,0.00061604884098558,-9.8749045116004,-27.984351488843,-5.7577837041965,0.003034394160801,-0.0011336015780625,-0.0012680083241957,-0.22787460930494,0.87421207741572,0.3794466130175,-0.016510216629634,-0.0037263568458402,-0.0016513388752352,-0.0071229828685051,-0.0026638953883611,-0.00093052116427267,5.3993914379401e-06,-6.7394896170082e-06,-3.0253189984275e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.22710329863792,0.87662520692412,0.38028678479557,-0.017043161615517,-0.0035970557588544,-0.0015595908473294
2451548,-0.071692971121121,-0.41273634041119,-0.21327813753911,0.022224261967806,-0.0013827955400689,-0.0030424667040514,-0.72047334674081,-0.10418641332508,-0.001458541962073,0.0025044276480171,-0.018323005101664,-0.0084014178844174,-0.65165831766637,0.46811674321142,0.26112150247964,-0.16343928531333,-0.14741789193727,-0.043494900625929,1.3849228924733,0.040168582860667,-0.018923350693788,0.00021893156369359,0.013800043886576,0.0063239299103456,3.9803084086793,2.7515261340318,1.0824652206018,-0.0045918894461076,0.00585480824108,0.0026214467394338,6.3864004380841,6.1825648579597,2.2787605971627,-0.0042943336591479,0.0035144676685075,0.0016362762022871,14.432768204004,-12.501546260749,-5.6794993705935,0.0026818623982618,0.0024566510690133,0.0010380150527449,16.812662710709,-22.97776157109,-9.8235023608584,0.0025841056678008,0.0016624147605341,0.00061610211015499,-9.8733873012812,-27.984918252109,-5.7584177006386,0.0030344471143462,-0.0011334514855313,-0.0012679774434898,-0.23611691899877,0.87232897326715,0.3786111125521,-0.016459858931775,-0.0038057622702563,-0.0016904629089997,-0.0071202821285234,-0.0026672642030193,-0.00093203344960117,5.4035679863729e-06,-6.7357701105075e-06,-3.023822869965e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.23561620862269,0.8747924927143,0.37949216778664,-0.017008257461868,-0.0037337535868581,-0.001618856597616
2451548.5,-0.060558619273094,-0.41327795782179,-0.2147216685799,0.022310460981895,-0.00078336550176244,-0.0027312142024438,-0.71915064431639,-0.11333757623076,-0.0056590601951474,0.0027862839742422,-0.018281045234739,-0.008400378330581,-0.73333695553518,0.39438053394193,0.2393584881759,-0.1632741001791,-0.14752265854483,-0.043555513210801,1.3850133065128,0.047067988743264,-0.01576115322545,0.00014273144997651,0.013797516921572,0.006324831008811,3.9780112599972,2.7544527063199,1.0837756167237,-0.0045967047869972,0.0058514803433947,0.0026201374929289,6.3842529648816,6.1843217948644,2.2795786258506,-0.0042955590900573,0.0035132798869751,0.0016358385207388,14.434109067618,-12.500317876688,-5.6789803364774,0.0026815920541952,0.0024568851714183,0.0010381214097658,16.813954740754,-22.97693033256,-9.8231942964863,0.0025840145097499,0.0016625393589961,0.00061615537772438,-9.8718700644875,-27.985484940329,-5.7590516816395,0.0030345000589749,-0.0011333013921839,-0.0012679465598427,-0.24433532496813,0.87040657102857,0.37775633635785,-0.016414637472189,-0.0038836342424173,-0.0017284704744871,-0.0071175793010082,-0.0026706311595655,-0.00093354498769713,5.4077415978878e-06,-6.7320571670181e-06,-3.0223300683612e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.24411133547647,0.87289150176149,0.37866794919219,-0.016972029577523,-0.0038701608715346,-0.0016779963833132
2451549,-0.049385201858893,-0.41351941096755,-0.21600891502419,0.02238050973877,-0.00018216584865279,-0.0024173414337381,-0.71768716551464,-0.12246685811469,-0.0098586436580836,0.0030675238229836,-0.018235482757311,-0.0083976789971136,-0.81493206014341,0.32059843035343,0.21756774233067,-0.16310670254481,-0.14760150229425,-0.04360567675739,1.3850656309936,0.053966037105216,-0.012598548624246,6.6573758284342e-05,0.013794613895591,0.0063255584722016,3.9757117043879,2.7573776138077,1.0850853578393,-0.0046015171541491,0.005848149040344,0.0026188267142449,6.3821048790549,6.1860781377834,2.2803964356547,-0.0042967841559506,0.0035120917257677,0.0016354006668119,14.435449796055,-12.499089375581,-5.6784612491855,0.0026813216871129,0.002457119248928,0.0010382277562094,16.815246725217,-22.976099031732,-9.8228862054809,0.0025839233445628,0.001662663953114,0.00061620864369362,-9.8703528012237,-27.986051553501,-5.7596856471979,0.0030345529946869,-0.0011331512980212,-0.0012679156732545,-0.25253244702921,0.86844550719971,0.37688279848761,-0.016374754822538,-0.0039604987540567,-0.0017655405443798,-0.007114874387389,-0.0026739962612776,-0.00093505578022405,5.4119124285929e-06,-6.7283507711901e-06,-3.0208405938167e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.25258801807278,0.87092238212405,0.3778141932027,-0.016934480937764,-0.0040062664705761,-0.0017370053736541
2451549.5,-0.038180816627318,-0.41345985622853,-0.21713858639317,0.022434315996656,0.00042063839212273,-0.0021009269824133,-0.7160832325609,-0.13157246034614,-0.014056462779127,0.003348091278653,-0.018186328488311,-0.0083933212125926,-0.89644468464215,0.24678307096016,0.19575458436627,-0.1629453464306,-0.14765619837812,-0.04364525140968,1.3850798877706,0.060862540054866,-0.0094356236614485,-9.5389365770522e-06,0.013791335366832,0.0063261124869274,3.9734097433392,2.7603008547931,1.0863944431828,-0.0046063265444866,0.0058448143344935,0.0026175144044066,6.3799561807865,6.1878338865269,2.2812140264887,-0.004298008856672,0.0035109031849905,0.001634962640543,14.436790389302,-12.497860757443,-5.677942108723,0.0026810512970175,0.002457353301541,0.001038334092075,16.816538664097,-22.975267668608,-9.8225780878429,0.0025838321722398,0.0016627885428877,0.00061626190806257,-9.8688355114943,-27.986618091627,-5.7603195973123,0.0030346059214824,-0.0011330012030438,-0.0012678847837256,-0.26071099941492,0.86644614734336,0.37599091997481,-0.016340384973202,-0.0040369141230768,-0.0018018665253909,-0.0071121673890168,-0.0026773595114251,-0.00093656582884537,5.4160806362654e-06,-6.7246509055978e-06,-3.0193544457338e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.26104559680236,0.8688852874247,0.37693096642107,-0.016895614635974,-0.0041420592690234,-0.0017958787497286
2451550,-0.026953610100941,-0.41309853297048,-0.21810943147733,0.022471776879333,0.0010248801922465,-0.0017820493989623,-0.71433919559117,-0.14065258988485,-0.018251688735237,0.0036279306161141,-0.018133593970154,-0.0083873066431354,-0.97787935896499,0.17294561190162,0.17392408988349,-0.16279558759839,-0.14769064000881,-0.043675254990728,1.3850560999844,0.067757309983967,-0.0062724650130968,-8.5604067666387e-05,0.013787681910728,0.0063264932475153,3.9711053783401,2.7632224275754,1.0877028719887,-0.0046111329549361,0.0058414762284115,0.0026162005644402,6.3778068702591,6.1895890409051,2.2820313982665,-0.0042992331920655,0.003509714264749,0.0016345244419686,14.438130847348,-12.496632022284,-5.6774229150952,0.0026807808839115,0.0024575873292559,0.0010384404173618,16.817830557389,-22.97443624319,-9.8222699435731,0.002583740992781,0.0016629131283168,0.00061631517083107,-9.8673181953037,-27.987184554704,-5.7609535319811,0.0030346588393614,-0.0011328511072524,-0.0012678538912561,-0.26887377471682,0.86440856917251,0.37508102118958,-0.016311666052785,-0.0041134737998804,-0.0018376579110957,-0.0071094583071633,-0.0026807209132683,-0.00093807513522397,5.4202463803451e-06,-6.7209575506332e-06,-3.0178716226606e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.26948341363208,0.86678037683657,0.3760183378566,-0.016855433883307,-0.0042775281804275,-0.0018546117049875
2451550.5,-0.01571178292728,-0.41243476471562,-0.21892023840685,0.02249277874116,0.0016303898390901,-0.0014607875507952,-0.71245543255398,-0.14970545964187,-0.022443493620611,0.0039069863122255,-0.018077291464924,-0.0083796372914124,-1.059242688707,0.099095045246001,0.15208066182282,-0.16266023950405,-0.14770938030131,-0.043697266768475,1.3849942920568,0.074650159576273,-0.0031091592559445,-0.00016161907607632,0.013783654119838,0.0063267009565669,3.9687986108814,2.7661423304552,1.0890106434924,-0.0046159363824272,0.0058381347246689,0.0026148851953731,6.3756569476553,6.1913436007284,2.282848550902,-0.0043004571619753,0.0035085249651485,0.0016340860711252,14.439471170182,-12.495403170118,-5.6769036683074,0.0026805104477976,0.0024578213320711,0.0010385467320693,16.819122405089,-22.97360475548,-9.8219617726723,0.0025836498061867,0.001663037709401,0.000616368431999,-9.8658008526564,-27.987750942734,-5.761587451203,0.0030347117483239,-0.0011327010106479,-0.0012678229958463,-0.27702362388274,0.86233254453722,0.37415331345668,-0.016288691856144,-0.0041908079358385,-0.0018731415696769,-0.0071067471430202,-0.0026840804700572,-0.00093958370102182,5.4244098219278e-06,-6.7172706843991e-06,-3.0163921222331e-06,-nan,-nan,-nan,-nan,-nan,-nan,-0.27790081216376,0.86460781506863,0.37507637891867,-0.016813942008336,-0.0044126621480071,-0.0019131994457437
