13dx,13dy,13dz
-0.00012932384472153,8.4175635792216e-05,3.6512976244685e-05
-0.00013094697066929,8.2309324223262e-05,3.5704316965313e-05
-0.00013253545637038,8.0411087298282e-05,3.4881811918408e-05
-0.00013408858073505,7.8481512984618e-05,3.404571500687e-05
-0.00013560563830706,7.6521210264358e-05,3.3196289933979e-05
-0.00013708593639206,7.4530810018847e-05,3.2333810620622e-05
-0.00013852879267928,7.2510964441275e-05,3.1458560827535e-05
-0.00013993353383984,7.0462345071798e-05,3.0570833057963e-05
-0.00014129949533864,6.8385639811264e-05,2.967092695022e-05
-0.00014262602244186,6.6281549424452e-05,2.8759147450985e-05
-0.00014391247223006,6.4150784092831e-05,2.7835803072251e-05
-0.00014515821625344,6.1994060534531e-05,2.6901204502716e-05
-0.00014636264337325,5.9812100055123e-05,2.5955663747468e-05
-0.00014752516241473,5.7605627734048e-05,2.4999493884903e-05
-0.00014864520427615,5.5375372733701e-05,2.4033009404401e-05
-0.00014972222328535,5.3122069557654e-05,2.3056527010901e-05
-0.000150755697713,5.0846459980769e-05,2.2070366728077e-05
-0.00015174512947008,4.8549295291744e-05,2.107485310382e-05
-0.00015269004310653,4.6231338495351e-05,2.007031632667e-05
-0.00015358998428155,4.3893366138859e-05,1.905709308786e-05
-0.00015444451791441,4.1536169481993e-05,1.8035527055482e-05
-0.00015525322624321,3.9160554786366e-05,1.7005968866612e-05
-0.00015601570703083,3.676734257263e-05,1.5968775588682e-05
-0.00015673157216511,3.4357365797377e-05,1.492430965766e-05
-0.00015740044689369,3.1931467024071e-05,1.3872937369153e-05
-0.00015802196990028,2.9490494842022e-05,1.2815027082447e-05
-0.00015859579433797,2.7035299990152e-05,1.1750947392197e-05
-0.0001591215897746,2.456673184148e-05,1.0681065596152e-05
-0.00015959904480989,2.2085635913216e-05,9.6057467680044e-06
-0.00016002786987207,1.9592853061412e-05,8.5253536978858e-06
-0.00016040779962501,1.7089220528343e-05,7.4402477093227e-06
-0.00016073859445209,1.4575574585618e-05,6.3507901520987e-06
-0.0001610200406944,1.2052754090441e-05,5.2573441852166e-06
-0.00016125194965599,9.5216040174595e-06,4.1602763878323e-06
-0.00016143415565899,6.9829781293995e-06,3.0599578246804e-06
-0.00016156651358495,4.4377402378393e-06,1.9567643614327e-06
-0.00016164889636898,1.8867638615916e-06,8.5107620539926e-07
-0.00016168119284724,-6.6906958995361e-07,-2.567232051387e-07
-0.00016166330623573,-3.2288737440433e-06,-1.3662487409749e-06
-0.00016159515338289,-5.7917608068392e-06,-2.4771152936642e-06
-0.00016147666482067,-8.3568451988425e-06,-3.5889394071065e-06
-0.00016130778554269,-1.0923246816397e-05,-4.7013406244134e-06
-0.00016108847633382,-1.3490093506041e-05,-5.8139423884107e-06
-0.0001608187154321,-1.605652250336e-05,-6.9263724243318e-06
-0.00016049850031627,-1.8621680767605e-05,-8.0382626102549e-06
-0.00016012784933978,-2.1184724216639e-05,-9.1492483887956e-06
-0.00015970680303223,-2.3744816071258e-05,-1.0258967845012e-05
-0.0001592354248979,-2.6301124576023e-05,-1.1367060598233e-05
-0.00015871380158416,-2.8852820428416e-05,-1.2473166670524e-05
-0.00015814204236475,-3.1399074288951e-05,-1.3576925498471e-05
-0.00015752027793578,-3.3939054747245e-05,-1.4677975239019e-05
-0.00015684865858395,-3.6471927093884e-05,-1.5775952498298e-05
-0.00015612735186765,-3.8996853201523e-05,-1.6870492576371e-05
-0.00015535654005105,-4.1512992716042e-05,-1.7961230264485e-05
-0.00015453641763719,-4.4019505580972e-05,-1.9047801147476e-05
-0.00015366718942522,-4.651555566082e-05,-2.0129843255834e-05
-0.00015274906952639,-4.9000314923942e-05,-2.1206998798207e-05
-0.0001517822816624,-5.1472967374622e-05,-2.2278915621621e-05
-0.00015076706076655,-5.393271183185e-05,-2.3345248061579e-05
-0.00014970365554923,-5.6378762886444e-05,-2.4405656978088e-05
-0.00014859233142972,-5.8810349820804e-05,-2.545980898444e-05
-0.00014743337305906,-6.1226713896634e-05,-2.650737512222e-05
-0.00014622708588058,-6.362710476604e-05,-2.7548029338798e-05
-0.00014497379642653,-6.601077690005e-05,-2.8581447130582e-05
-0.0001436738513696,-6.8376986780416e-05,-2.9607304617874e-05
-0.00014232761557886,-7.0724991291904e-05,-3.0625278170715e-05
-0.00014093546954635,-7.3054047458054e-05,-3.1635044583311e-05
-0.00013949780657574,-7.5363413430729e-05,-3.2636281709464e-05
-0.00013801503009914,-7.7652350480406e-05,-3.362866942197e-05
-0.0001364875514257,-7.9920125637178e-05,-3.4611890737002e-05
-0.00013491578815472,-8.2166014602314e-05,-3.5585632947532e-05
-0.00013330016339175,-8.4389304551569e-05,-3.6549588628199e-05
-0.00013164110582142,-8.6589296486972e-05,-3.7503456395804e-05
-0.00012993905059044,-8.8765306858862e-05,-3.8446941348635e-05
-0.00012819444086143,-9.0916668286645e-05,-3.9379755148339e-05
-0.0001264077298081,-9.304272932309e-05,-4.0301615756189e-05
-0.00012457938281152,-9.5142853246077e-05,-4.1212246847167e-05
-0.00012270987948948,-9.7216416125256e-05,-4.2111377013376e-05
-0.000120799715288,-9.9262804337918e-05,-4.2998738835232e-05
-0.00011884940232854,-0.00010128141185883,-4.3874067944594e-05
-0.00011685946925188,-0.00010327163775037,-4.4737102223413e-05
-0.00011483045993599,-0.00010523288422559,-4.5587581256445e-05
-0.00011276293108997,-0.00010716455566262,-4.6425246148007e-05
-0.00011065744893934,-0.00010906605887973,-4.7249839779606e-05
-0.00010851458547445,-0.00011093680478114,-4.8061107511377e-05
-0.00010633491496248,-0.00011277621118455,-4.8858798234297e-05
-0.0001041190115032,-0.00011458370632034,-4.9642665578997e-05
-0.0001018674482588,-0.00011635873223881,-5.0412469022931e-05
-9.9580798593846e-05,-0.00011810074731455,-5.1167974638555e-05
-9.7259638809244e-05,-0.00011980922723798,-5.1908955314067e-05
-9.4904551718344e-05,-0.00012148366440756,-5.2635190450151e-05
-9.2516130187237e-05,-0.00012312356601374,-5.3346465255233e-05
-9.0094979860345e-05,-0.0001247284513054,-5.4042569814589e-05
-8.7641720641574e-05,-0.00012629784873375,-5.4723298154424e-05
-8.5156986778911e-05,-0.00012783129342675,-5.5388447439603e-05
-8.2641425680152e-05,-0.00012932832534435,-5.6037817401405e-05
-8.0095695732307e-05,-0.00013078848827902,-5.6671210035497e-05
-7.7520463479974e-05,-0.00013221132972852,-5.7288429568841e-05
-7.4916400541247e-05,-0.00013359640156935,-5.7889282668228e-05
-7.2284180640425e-05,-0.00013494326138658,-5.8473578845558e-05
-6.9624477108232e-05,-0.00013625147426222,-5.9041131002746e-05
-6.6937961144098e-05,-0.00013752061478928,-5.9591756050498e-05
