time,1x1,1x2,1x3,1v1,1v2,1v32x1,2x2,2x3,2v1,2v2,2v3
2451545,0,0,0,0,0,0,-0.1771350998034,0.88742852243546,0.38474289861126,-0.017207625066858,-0.0028981677276473,-0.0012563950525523
2451546,-8.5467530732985e-11,4.1430132270108e-10,1.7961954295498e-10,-1.7361179505933e-10,8.2813164825589e-10,3.590349015806e-10,-0.19431426846437,0.88439241312345,0.38342669924967,-0.017149821036888,-0.0031738940779165,-0.0013759356874749
2451547,-3.5256763566105e-10,1.6552761364262e-09,7.1764185295905e-10,-3.6325527817096e-10,1.653301895672e-09,7.1678598698313e-10,-0.21143296257774,0.88108106295447,0.38199116972229,-0.017086679257968,-0.0034486344300693,-0.0014950488759282
2451548,-8.1730143274022e-10,3.7198279589005e-09,1.6127245495221e-09,-5.6886835145884e-10,2.4752407649844e-09,1.0731362080473e-09,-0.22848585457289,0.87749550290201,0.38043675697456,-0.01701822040558,-0.0037222988952025,-0.0016136956467388
2451549,-1.4956050734358e-09,6.6045909063528e-09,2.8634084535999e-09,-7.9038318444624e-10,3.2936794493745e-09,1.4279690240234e-09,-0.24546763850976,0.87363685363671,0.37876394684001,-0.016944467063876,-0.0039947979741125,-0.0017318371976757
2451550,-2.4033440245193e-09,1.030593092058e-08,4.4681181195519e-09,-1.027726243361e-09,4.1083504255921e-09,1.7811684506171e-09,-0.26237303198276,0.8695063251179,0.37697326386311,-0.016865443715917,-0.0042660425949596,-0.0018494349117794
2451551,-3.5563073806972e-09,1.4819947108779e-08,6.4251624159896e-09,-1.2808183234911e-09,4.9189875663565e-09,2.1326191087203e-09,-0.27919677801436,0.86510521614746,0.37506527110589,-0.016781176732903,-0.0045359441506921,-0.0019664503735873
2451552,-4.9702022111107e-09,2.0142473195387e-08,8.7327351551842e-09,-1.5495745845647e-09,5.7253262519525e-09,2.4822062727935e-09,-0.29593364693747,0.86043491388642,0.37304056993836,-0.016691694362396,-0.004804414536202,-0.0020828453852426
2451553,-6.6606479427156e-09,2.6269079085074e-08,1.1388915770669e-08,-1.8339045891268e-09,6.5271034809414e-09,2.829815918865e-09,-0.31257843826541,0.85549689333458,0.37089979981295,-0.016597026715537,-0.0050713661851863,-0.0021985819824751
2451554,-8.6431707835244e-09,3.3195072535982e-08,1.4391670042631e-08,-2.1337123438814e-09,7.324057979907e-09,3.1753347721103e-09,-0.32912598254877,0.85029271677339,0.36864363802294,-0.016497205753285,-0.005336712106687,-0.0023136224504431
