time,x1,x2,x3,v1,v2,v3
2451545,-0.1771350998034,0.88742852243546,0.38474289861126,-0.017207625066858,-0.0028981677276473,-0.0012563950525523
2451546,-0.19431426846437,0.88439241312345,0.38342669924967,-0.017149821036888,-0.0031738940779165,-0.0013759356874749
2451547,-0.21143296257774,0.88108106295447,0.38199116972229,-0.017086679257968,-0.0034486344300693,-0.0014950488759282
2451548,-0.22848585457289,0.87749550290201,0.38043675697456,-0.01701822040558,-0.0037222988952025,-0.0016136956467388
2451549,-0.24546763850976,0.87363685363671,0.37876394684001,-0.016944467063876,-0.0039947979741125,-0.0017318371976757
2451550,-0.26237303198276,0.8695063251179,0.37697326386311,-0.016865443715917,-0.0042660425949596,-0.0018494349117794
2451551,-0.27919677801436,0.86510521614746,0.37506527110589,-0.016781176732903,-0.0045359441506921,-0.0019664503735873
2451552,-0.29593364693747,0.86043491388642,0.37304056993836,-0.016691694362396,-0.004804414536202,-0.0020828453852426
2451553,-0.31257843826541,0.85549689333458,0.37089979981295,-0.016597026715537,-0.0050713661851863,-0.0021985819824751
2451554,-0.32912598254877,0.85029271677339,0.36864363802294,-0.016497205753285,-0.005336712106687,-0.0023136224504431
2451555,-0.34557114321789,0.84482403317253,0.36627279944519,-0.016392265271673,-0.0056003659212839,-0.0024279293394253
2451556,-0.36190881841019,0.83909257756034,0.36378803626727,-0.016282240886108,-0.0058622418969142,-0.0025414654803496
2451557,-0.37813394278127,0.83310017035879,0.36119013769905,-0.016167170014716,-0.0061222549842939,-0.0026541940001508
2451558,-0.39424148929893,0.82684871668316,0.35847992966917,-0.016047091860746,-0.0063803208519158,-0.0027660783369433
2451559,-0.41022647101912,0.8203402056069,0.3556582745063,-0.015922047394068,-0.0066363559206002,-0.002877082255001
2451560,-0.42608394284289,0.81357670939228,0.35272607060558,-0.015792079331749,-0.0068902773975746,-0.0029871698595323
2451561,-0.44180900325355,0.80656038268712,0.34968425208041,-0.015657232117753,-0.0071420033100576,-0.0030963056112406
2451562,-0.45739679603303,0.79929346168822,0.34653378839977,-0.015517551901764,-0.0073914525383271,-0.003204454340661
2451563,-0.47284251195667,0.79177826327199,0.34327568401127,-0.015373086517162,-0.0076385448482479,-0.0033115812622626
2451564,-0.48814139046553,0.78401718409286,0.33991097795032,-0.015223885458162,-0.0078832009232396,-0.003417651988308
2451565,-0.50328872131549,0.77601269964994,0.3364407434355,-0.015069999856142,-0.0081253423956617,-0.0035226325424609
2451566,-0.51827984620222,0.76776736332266,0.33286608745043,-0.014911482455177,-0.0083648918775987,-0.0036264893731325
2451567,-0.53311016036132,0.75928380537592,0.32918815031249,-0.014748387586807,-0.0086017729910227,-0.0037291893665589
2451568,-0.54777511414289,0.75056473193537,0.32540810522859,-0.014580771144053,-0.0088359103973179,-0.0038306998596012
2451569,-0.56227021455968,0.74161292393351,0.3215271578382,-0.014408690554701,-0.0090672298261464,-0.0039309886522605
2451570,-0.57659102680821,0.73243123602727,0.31754654574415,-0.014232204753898,-0.0092956581036404,-0.0040300240199007
2451571,-0.59073317576215,0.72302259548772,0.31346753803122,-0.01405137415605,-0.009521123179903,-0.0041277747251716
2451572,-0.60469234743726,0.71339000106264,0.30929143477305,-0.01386626062608,-0.009743554155803,-0.0042242100296255
2451573,-0.61846429042727,0.70353652181269,0.30501956652757,-0.013676927450046,-0.0099628813090482,-0.0043192997050221
2451574,-0.63204481731005,0.69346529592178,0.30065329382123,-0.013483439305159,-0.010179036119524,-0.0044130140443134
2451575,-0.64542980602357,0.6831795294826,0.29619400662249,-0.01328586222922,-0.010391951293886,-0.0045053238723059
2451576,-0.65861520121092,0.6726824952578,0.29164312380475,-0.013084263589499,-0.010601560789387,-0.0045962005559917
2451577,-0.67159701553406,0.66197753141788,0.28700209259917,-0.01287871205109,-0.010807799836939,-0.0046856160145467
2451578,-0.68437133095557,0.65106804025626,0.28227238803756,-0.012669277544767,-0.011010604963391,-0.0047735427289887
2451579,-0.69693429998807,0.63995748688256,0.27745551238593,-0.012456031234357,-0.011209914013013,-0.0048599537514925
2451580,-0.70928214691077,0.62864939789476,0.27255299456878,-0.012239045483671,-0.011405666168182,-0.004944822714359
2451581,-0.72141116895275,0.61714736003111,0.26756638958463,-0.012018393823017,-0.011597801969263,-0.0050281238386327
2451582,-0.73331773744255,0.60545501880251,0.26249727791312,-0.011794150915312,-0.011786263333667,-0.0051098319423673
2451583,-0.74499829892364,0.5935760771063,0.25734726491405,-0.011566392521832,-0.011970993574097,-0.0051899224485341
2451584,-0.7564493762356,0.58151429382216,0.2521179802186,-0.011335195467621,-0.012151937415962,-0.0052683713925729
2451585,-0.76766756956037,0.56927348239109,0.24681107711327,-0.011100637606594,-0.012329041013963,-0.005345155429583
