x,y,z
0,0,0
-8.5467530732985e-11,4.1430132270108e-10,1.7961954295498e-10
-3.5256763566105e-10,1.6552761364262e-09,7.1764185295905e-10
-8.1730143274022e-10,3.7198279589005e-09,1.6127245495221e-09
-1.4956050734358e-09,6.6045909063528e-09,2.8634084535999e-09
-2.4033440245193e-09,1.030593092058e-08,4.4681181195519e-09
-3.5563073806972e-09,1.4819947108779e-08,6.4251624159896e-09
-4.9702022111107e-09,2.0142473195387e-08,8.7327351551842e-09
-6.6606479427156e-09,2.6269079085074e-08,1.1388915770669e-08
-8.6431707835244e-09,3.3195072535982e-08,1.4391670042631e-08
-1.0933198188659e-08,4.0915500942188e-08,1.7738850870666e-08
-1.3546053372126e-08,4.9425153224315e-08,2.1428199093413e-08
-1.6496949867189e-08,5.871856182714e-08,2.5457344354582e-08
-1.9800986138171e-08,6.8790004822956e-08,2.9823806014829e-08
-2.3473140246476e-08,7.9633508119381e-08,3.4524994108915e-08
-2.7528264573568e-08,9.1242847770239e-08,3.9558210347554e-08
-3.1981080603608e-08,1.0361155238806e-07,4.4920649163311e-08
-3.6846173768385e-08,1.1673290565668e-07,5.0609398799906e-08
-4.213798835712e-08,1.3059994894234e-07,5.6621442444225e-08
-4.7870822493695e-08,1.4520548400169e-07,6.2953659400318e-08
-5.4058823183755e-08,1.6054207578485e-07,6.960282630466e-08
-6.0715981434105e-08,1.7660205533193e-07,7.6565618381879e-08
-6.7856127446747e-08,1.9337752276104e-07,8.3838610740178e-08
-7.5492925889848e-08,2.1086035034594e-07,9.1418279705609e-08
-8.363987124783e-08,2.2904218568137e-07,9.9301004194378e-08
-9.2310283252763e-08,2.4791445493408e-07,1.0748306712229e-07
-1.0151730239911e-07,2.6746836617755e-07,1.1596065685046e-07
-1.1127388554382e-07,2.8769491280814e-07,1.2472986866638e-07
-1.2159280159377e-07,3.0858487704071e-07,1.337867062994e-07
-1.3248662728229e-07,3.301288334815e-07,1.431270834697e-07
-1.4396774303669e-07,3.5231715277586e-07,1.5274682546976e-07
-1.5604832893835e-07,3.7514000532882e-07,1.6264167077735e-07
-1.6874036077715e-07,3.98587365096e-07,1.7280727269905e-07
-1.8205560620163e-07,4.2264901344267e-07,1.8323920104333e-07
-1.9600562096649e-07,4.4731454306849e-07,1.9393294382205e-07
-2.1060174527869e-07,4.7257336199556e-07,2.0488390897952e-07
-2.2585510024359e-07,4.9841469761747e-07,2.1608742614784e-07
-2.4177658441214e-07,5.2482760080675e-07,2.2753874842771e-07
-2.5837687043059e-07,5.5180095007839e-07,2.3923305419349e-07
-2.756664017934e-07,5.7932345580688e-07,2.5116544892146e-07
-2.9365538970063e-07,6.0738366449434e-07,2.6333096704021e-07
-3.1235381002052e-07,6.3596996308716e-07,2.7572457380214e-07
-3.3177140035824e-07,6.6507058333881e-07,2.8834116717488e-07
-3.5191765723129e-07,6.94673606216e-07,3.0117557975158e-07
-3.7280183335248e-07,7.2476696634605e-07,3.1422258067902e-07
-3.9443293502088e-07,7.5533845650265e-07,3.2747687760241e-07
-4.1681971962126e-07,7.8637573212758e-07,3.4093311862572e-07
-4.3997069323248e-07,8.17866315886e-07,3.5458589428661e-07
-4.6389410834508e-07,8.4979760225254e-07,3.6842973954472e-07
-4.8859796168841e-07,8.8215686212597e-07,3.8245913578231e-07

